YEAR;Spain KT CO2eq;POPULATION;GDP;GELEC R;GELEC NR;TRANSP;METALI;CONST;GELEC TOTAL
1990;539494,29;58022027;1469923,491;15125,256;207992,366;38729,297;2994,724;1086,923;223117,622
1991;565181,79;58313439;1488101,483;17035,129;219010,174;39886,135;2824,995;1139,935;236045,303
1992;554857,65;58604851;1510662,011;17688,378;214152,733;40702,539;2686,79;1106,361;231841,111
1993;533303,1;58885929;1505238,767;16916,819;218716,549;41049,128;2529,446;1095,629;235633,368
1994;525045,86;59104320;1541118,555;17087,899;209503,545;41390,124;2650,941;848,43;226591,444
1995;530962,69;59315139;1576638,144;16881,585;219093,431;41692,376;2903,527;954,237;235975,016
1996;549198,04;59522297;1598665,038;17111,422;232218,363;41738,187;3049,024;953,64;249329,785
1997;541445,65;59726386;1639064,289;16025,056;225591,72;42623,894;2973,477;846,816;241616,776
1998;555503,84;59934884;1695654,53;15902,714;232772,709;44070,445;3079,037;1394,55;248675,423
1999;550619,36;60158533;1753295,051;16377,111;231938,918;44221,1;2267,465;1200,031;248316,029
2000;545081,06;60545022;1825898,999;15602,641;235095,497;45226,951;2194,249;1138,737;250698,138
2001;550342,62;60979315;1860581,348;16444,939;242807,018;45786,45;2225,015;1329,375;259251,957
2002;544084,44;61424036;1880447,71;14884,047;245011,78;45748,137;2327,344;1762,018;259895,827
2003;548349,22;61864088;1898647,194;15321,077;251126,819;44848,923;2212,059;1707,592;266447,896
2004;548176,02;62292241;1953105,153;15697,405;254766,888;44930,193;2246,16;1625,641;270464,293
2005;549697,03;62772870;1989990,829;15823,913;255900,471;44371,879;2402,877;1557,576;271724,384
2006;539114,08;63229635;2044000,464;15611,19;251855,601;44563,113;2547,238;1409,27;267466,791
2007;529091,44;63645065;2095723,525;17041,179;247733,634;44968,91;2498,37;1260,561;264774,813
2008;523536,62;64007193;2103690,867;19390,391;246875,594;43878,279;2003,785;1375,92;266265,985
2009;502567,41;64350226;2044271,035;19780,976;236382,984;43544,413;1662,112;1066,937;256163,96
2010;506149,97;64658856;2085163,094;22187,381;242012,783;43568,598;1935,007;1126,555;264200,164
2011;481373;64978721;2135990,541;19327,137;239777,927;46278,805;2040,462;1486,028;259105,064
2012;482905,41;65276983;2139917,245;22855,083;236566,324;45784,887;2003,696;1477,899;259421,407
2013;482393,69;65600350;2156646,186;25517,796;235302,923;45618,722;1984,274;1491,3;260820,719
2014;449943,74;66165980;2178165,912;23716,477;226867,301;45608,619;2055,961;1429,856;250583,778
2015;453626,05;66458153;2201401,6;24631,814;230021,82;46189,642;1981,97;1445,105;254653,634
2016;455607,62;66638391;2220334,338;26662,347;223600,102;46411,645;2001,2;1466,765;250262,449
2017;458188,09;66809816;2266597,554;26258,724;223951,114;46673,389;2038,435;1449,795;250209,838
2018;439092,56;67026224;2303903,681;28354,895;220473,581;45890,954;2147,352;1500,078;248828,476
2019;429006,53;67290471;2350614,095;28901,25;216732,495;45647,154;2032,79;1543,329;245633,745
2020;389486,34;67473651;2175713,223;28791,105;192210,377;38389,753;1723,804;1428,693;221001,482
2021;411625,46;67728568;2325453,158;31010,543;208047,464;43582,259;2068,83;1617,706;239058,007
2022;395673,74;67957053;2385236,849;30432,295;184869,052;45082,067;1712,476;1548,452;215301,347
