YEAR;Spain KT CO2eq;POPULATION;GDP;GELEC R;GELEC NR;TRANSP;METALI;CONST;GELEC TOTAL
1990;1250658,19;79231890;2129717,66;5313,433;345871,822;54890,92;11064,664;60,533;351185,255
1991;1204650,8;79753227;2238509,207;5069,461;338897,473;55958,837;9900,143;58,298;343966,934
1992;1155058;80274564;2283596,907;5365,778;331963,671;56765,562;8876,03;98,108;337329,449
1993;1145878,64;80974632;2261370,574;5478,953;328486,184;58285,136;8094,103;723,139;333965,137
1994;1127755,53;81338093;2320111,596;5777,955;326457,754;57375,771;8569,57;707,28;332235,709
1995;1120597,87;81538603;2355038,69;5976,842;329874,692;58087,499;8600,163;851,342;335851,534
1996;1137859,79;81817499;2379487,661;6164,546;340936,809;58514,46;8192,391;817,45;347101,355
1997;1102105,96;82012162;2423622,809;7122,155;337028,999;58818,815;8230,2;795,83;344151,154
1998;1077636,36;82057379;2474425,855;7684,819;334221,106;59744,97;8594,634;826,357;341905,925
1999;1043399,01;82037011;2527134,013;7964,111;326154,635;61332,287;8074,186;780,006;334118,746
2000;1040432,99;82163475;2599845,874;8983,305;326829,148;59991,999;8509,324;757,376;335812,453
2001;1055089,58;82259540;2642393,418;9636,372;336323,162;58783,465;8062,238;692,985;345959,534
2002;1033358,91;82440309;2636360,563;10782,731;327362,771;58115,171;8192,229;640,047;338145,502
2003;1024724,98;82536680;2622389,724;13938,171;325059,392;56578,705;9244,499;0;338997,563
2004;1001224,93;82531671;2652871,55;16190,594;324719,03;56740,802;8763,813;0;340909,624
2005;987521,65;82500849;2676367,96;18756,965;320274,195;54839,883;8150,811;0;339031,16
2006;1000998,36;82437995;2779561,647;22887,096;326320,367;55553,088;9425,952;0;349207,463
2007;960749,17;82314906;2859893,958;26482,789;304828,8;54251,888;8473,052;0;331311,589
2008;968599,26;82217837;2885930,524;27567,43;307906,844;53420,592;8342,618;0;335474,274
2009;899802,54;82002356;2725900,928;27522,863;285949,201;52532,628;6416,559;0;313472,064
2010;927911,75;81802257;2838937,703;31267,615;299035,936;53143,376;7900,403;863,162;330303,551
2011;904308,18;80222065;2945624,098;32438,432;280669,474;53638,674;8576,853;890,906;313107,906
2012;914497,75;80327900;2959594,937;36452,88;278987,819;53259,098;7957,101;898,967;315440,699
2013;931474,45;80523746;2971025,62;37632,136;284808,483;54240,042;7707,294;760,517;322440,619
2014;890887,06;80767463;3035481,989;37454,527;271098,617;55445,775;7434,518;868,421;308553,144
2015;899383,83;81197537;3085650;39929,125;270153,338;55144,756;7731,281;837,812;310082,463
2016;894709,9;82175684;3156456,74;39834,021;271577,017;56556,589;7675,495;844,301;311411,038
2017;879841,91;82521653;3242186,879;42513,944;269951,115;57247,225;7630,377;878,381;312465,059
2018;851695,34;82792351;3278384,051;43509,159;261527,574;55470,398;7670,594;1748,625;305036,733
2019;796759,47;83019213;3310770,989;45314,506;253086,717;56220,462;7119,352;2441,23;298401,223
2020;731754,8;83166711;3175190,365;47025,919;233304,975;51000,996;6511,653;2485,731;280330,894
2021;759600;83155031;3291719,847;47045,905;243281,045;49902,777;6939,183;2462,597;290326,95
2022;749965;83237124;3336807,556;49044,276;224326,471;50725,775;6840,84;2401,718;273370,747
