YEAR;Spain KT CO2eq;POPULATION;GDP;GELEC R;GELEC NR;TRANSP;METALI;CONST;GELEC TOTAL
1990;522373,15;56694360;1412222,593;6472,418;140144,758;32706,905;5657,094;121,555;146617,176
1991;523618,85;56744119;1433948,897;7510,562;142720,517;33397,674;5533,415;164,875;150231,079
1992;522836,66;56772923;1445911,981;7921,601;141375,109;35119,647;5283,238;184,733;149296,71
1993;515996,57;56821250;1433581,16;7975,399;140540,547;35790,484;5059,291;181,227;148515,946
1994;510080,77;56842392;1464417,83;8253,836;138396,688;35776,094;5098,951;192,949;146650,524
1995;536499,75;56844408;1506693,182;7719,246;151513,052;36615,441;5383,021;202,236;159232,298
1996;531253,16;56844197;1526967,016;8354,839;150794,25;37229,6;4879,069;203,989;159149,089
1997;538927,56;56876364;1556372,144;8654,667;152783,063;37753,236;5101,727;195,381;161437,73
1998;551668,35;56904379;1584454,907;9043,427;156912,526;38807,173;4816,09;208,116;165955,953
1999;557439,33;56909109;1611041,927;9773,407;158737,276;39682,273;4442,146;188,512;168510,683
2000;561321,78;56923524;1673584,167;10112,826;161599,535;39691,975;4933,266;204,204;171712,361
2001;563411,87;56960692;1707163,517;10341,081;161962,538;40361,042;4605,146;181,031;172303,619
2002;569744,75;56993270;1711771,657;10889,378;162648,368;41082,495;4493,403;164,828;173537,746
2003;589280,56;57186378;1712910,907;12909,269;168908,594;41411,448;4570,118;191,841;181817,863
2004;594727,7;57611990;1738159,585;12963,412;170130,972;42309,926;4595,397;203,501;183094,384
2005;595598,49;58044368;1751411,5;14106,718;172341,43;41838,889;4811,018;210,151;186448,148
2006;585087,18;58288996;1782927,798;15326,492;169418,177;42216,674;4799,697;205,966;184744,669
2007;579479,99;58510725;1808999,409;16945,996;167249,64;42314,794;4700,459;204,514;184195,636
2008;566428,8;59001769;1790490,84;19707,179;162029,016;40707,409;4569,421;203,158;181736,195
2009;511141,52;59420592;1695502,543;21026,557;148548,392;39131,363;3274,687;192,338;169574,949
2010;522370,88;59690316;1721428,57;21864,302;151812,819;38566,288;3650,709;202,809;173677,121
2011;509136,62;59948497;1733400,471;21025,853;146916,364;38572,097;3842,548;433,295;167942,217
2012;489705,73;60105185;1679227,567;23884,74;137455,619;36348,734;4010,7;382,851;161340,359
2013;453700,82;60277309;1648698,789;26370,626;129019,526;35701,272;3560,299;361,314;155390,152
2014;432020,99;60345917;1648675,911;26512,291;120257,587;37009,372;3635,335;352,654;146769,878
2015;442556,72;60295497;1663277,7;26268,705;126294,558;36374,374;3546,517;349,861;152563,263
2016;439096;60163712;1683839,49;26017,921;124963,865;35814,501;3681,161;354,751;150981,786
2017;432350,88;60066734;1710843,223;28821,095;127272,391;34525,408;3597,069;380,518;156093,486
2018;428283,63;59937769;1724985,852;29281,72;123873,045;35579,484;3619,632;358,288;153154,765
2019;416493,42;59816673;1732388,845;29512,128;121952,025;35861,202;3620,068;389,912;151464,153
2020;379050,83;59641488;1578756,77;29344,686;110755,799;28976,458;3166,569;376,066;140100,485
2021;413124,66;59236213;1719756,517;30264,515;122166,985;34801,761;3877,951;581,214;152431,5
2022;410289,37;59030133;1799927,484;28157,963;117062,424;36684,754;3516,943;547,974;145220,387
