YEAR;Spain KT CO2eq;POPULATION;GDP;GELEC R;GELEC NR;TRANSP;METALI;CONST;GELEC TOTAL
1990;287285,79;38853227;671710,981;6221,902;81083,42;21486,207;2649,407;114,928;87305,322
1991;295141;38881416;688812,746;6133,355;84388,07;22358,118;2648,592;115,742;90521,425
1992;304527,88;39051336;695213,3;5108,359;87013,238;23591,683;2301,152;118,886;92121,597
1993;294438,18;39264034;688042,232;5593,024;82832,675;23248,94;2265,786;124,135;88425,699
1994;310557,31;39458489;704439,623;5956,539;87382,578;24085,564;2635,994;127,752;93339,117
1995;326666,2;39639726;723864,503;5505,175;95103,486;24372,325;2734,551;191,294;100608,661
1996;318211,98;39808374;742738,627;6982,88;92164,258;25995,192;2564,022;191,674;99147,138
1997;332264,79;39971329;769382,888;6645,283;98801,599;25997,014;2681,005;174,377;105446,882
1998;341775,86;40143449;802481,566;6782,693;103932,066;28422,698;2689,717;204,225;110714,759
1999;367983,31;40303568;837861,899;6027,924;110073,802;29794,721;2583,146;218,616;116101,726
2000;383140,91;40470182;881436,09;6812,527;114428,739;30540,704;3022,664;259,231;121241,266
2001;381772,3;40665545;915980,353;8153,412;116294,626;31939,406;3446,255;299,88;124448,038
2002;400260,42;41035278;941219,79;6892,058;121282,135;32577,316;3300,292;317,827;128174,193
2003;407245,74;41827838;968884,966;9192,567;123407,061;34269,243;3394,179;359,819;132599,628
2004;422688,69;42547451;999061,193;8809,626;129617,674;35667,779;3726,946;424,596;138427,3
2005;437748,71;43296338;1034540,109;8392,96;132898,464;36991,037;3373,864;470,275;141291,424
2006;431953;44009971;1076371,068;9156,91;132176,368;37906,257;2706,444;465,152;141333,278
2007;442650,7;44784666;1114404,641;10000,718;133394,183;38993,51;2731,217;448,519;143394,901
2008;408962,8;45668939;1122953,972;10545,269;127620,775;37203,875;2731,68;472,267;138166,044
2009;369608,91;46239273;1080639,572;12564,989;114426,105;34817,296;1925,66;658,445;126991,094
2010;354496,87;46486619;1081656,695;15044,345;111951,581;34259,422;2125,386;507,566;126995,926
2011;354303,06;46667174;1074734,95;14814,235;110955,457;32475,68;2236,859;483,751;125769,692
2012;347179,85;46818219;1043942,572;16123,296;109255,728;29798,111;2059,886;1163,148;125379,024
2013;320103,74;46712650;1029042,148;17716,015;99342,698;28203,413;1826,871;1293,489;117058,713
2014;321563,16;46495744;1044688,589;18064,318;96458,437;28427,13;1781,382;1280,879;114522,755
2015;333189,55;46425722;1087112;17007,858;101946,523;29439,41;1997,386;911,315;118954,381
2016;321278,37;46418884;1118803,011;17484,887;102230,953;30631,963;2041,007;964,697;119715,84
2017;334344,64;46497393;1151204,017;16590,507;109286,444;31749,555;2167,285;1072,206;125876,951
2018;328545,02;46645070;1178780,087;18163,223;107323,384;32513,6;2156,898;1212,551;125486,607
2019;309582,72;46918951;1201898,069;18365,551;103574,169;32915,106;1954,566;1394,222;121939,72
2020;270668,58;47318050;1070409,571;19089,534;91124,721;26059,067;1693,425;1011,179;110214,255
2021;288509,4;47400798;1141946,586;19825,722;96364,247;30350,056;1886,949;1268,724;116189,969
2022;294201,39;47486843;1212511,031;19611,61;96317,714;32477,593;1663,857;1086,1;115929,324
